"From","Trough","To","Depth","Length","To Trough","Recovery","strategy"
2020-02-15,2020-03-16,2020-11-22,-0.6951,282,31,251,"first_MVP_top8"
2020-12-20,2020-12-23,NA,-0.1868,13,4,NA,"first_MVP_top8"
2020-11-24,2020-11-26,2020-12-18,-0.1842,25,3,22,"first_MVP_top8"
2020-01-18,2020-01-25,2020-01-30,-0.1319,13,8,5,"first_MVP_top8"
2020-01-08,2020-01-09,2020-01-11,-0.0501,4,2,2,"first_MVP_top8"
2020-02-15,2020-03-16,2020-11-05,-0.5965,265,31,234,"first_MVP_bottom8"
2020-11-25,2020-11-27,2020-11-30,-0.1213,6,3,3,"first_MVP_bottom8"
2020-12-01,2020-12-11,2020-12-16,-0.0901,16,11,5,"first_MVP_bottom8"
2020-01-19,2020-01-25,2020-01-28,-0.0689,10,7,3,"first_MVP_bottom8"
2020-11-07,2020-11-07,2020-11-11,-0.047,5,1,4,"first_MVP_bottom8"
2020-02-15,2020-12-23,NA,-0.7488,322,313,NA,"first_maxSR_top8"
2020-01-18,2020-01-25,2020-01-27,-0.1021,10,8,2,"first_maxSR_top8"
2020-01-02,2020-01-02,2020-01-03,-0.0554,2,1,1,"first_maxSR_top8"
2020-01-31,2020-01-31,2020-02-05,-0.0472,6,1,5,"first_maxSR_top8"
2020-01-07,2020-01-09,2020-01-10,-0.0352,4,3,1,"first_maxSR_top8"
2020-02-19,2020-03-16,2020-07-15,-0.7363,148,27,121,"first_maxSR_bottom8"
2020-08-16,2020-09-23,NA,-0.6239,139,39,NA,"first_maxSR_bottom8"
2020-07-16,2020-07-27,2020-08-03,-0.1683,19,12,7,"first_maxSR_bottom8"
2020-01-19,2020-01-25,2020-01-30,-0.106,12,7,5,"first_maxSR_bottom8"
2020-08-10,2020-08-11,2020-08-12,-0.0543,3,2,1,"first_maxSR_bottom8"
2020-02-15,2020-03-16,NA,-0.7117,322,31,NA,"first_EW_top8"
2020-01-18,2020-01-25,2020-01-30,-0.1317,13,8,5,"first_EW_top8"
2020-01-08,2020-01-09,2020-01-10,-0.0476,3,2,1,"first_EW_top8"
2020-01-02,2020-01-02,2020-01-05,-0.0204,4,1,3,"first_EW_top8"
2020-01-31,2020-01-31,2020-02-01,-0.0198,2,1,1,"first_EW_top8"
2020-02-15,2020-03-16,NA,-0.6529,322,31,NA,"first_EW_bottom8"
2020-01-18,2020-01-25,2020-01-28,-0.0884,11,8,3,"first_EW_bottom8"
2020-01-31,2020-01-31,2020-02-05,-0.0366,6,1,5,"first_EW_bottom8"
2020-01-02,2020-01-02,2020-01-03,-0.0365,2,1,1,"first_EW_bottom8"
2020-01-08,2020-01-09,2020-01-10,-0.0171,3,2,1,"first_EW_bottom8"
2020-02-15,2020-03-16,NA,-0.7057,322,31,NA,"first_InvInef_top8"
2020-01-18,2020-01-25,2020-02-05,-0.1423,19,8,11,"first_InvInef_top8"
2020-01-03,2020-01-04,2020-01-07,-0.0835,5,2,3,"first_InvInef_top8"
2020-01-15,2020-01-15,2020-01-17,-0.0748,3,1,2,"first_InvInef_top8"
2020-01-08,2020-01-09,2020-01-12,-0.0734,5,2,3,"first_InvInef_top8"
2020-02-15,2020-03-16,NA,-0.6623,322,31,NA,"first_InvInef_bottom8"
2020-01-18,2020-01-25,2020-01-28,-0.0849,11,8,3,"first_InvInef_bottom8"
2020-01-02,2020-01-02,2020-01-03,-0.0359,2,1,1,"first_InvInef_bottom8"
2020-01-31,2020-01-31,2020-02-05,-0.0356,6,1,5,"first_InvInef_bottom8"
2020-01-07,2020-01-09,2020-01-10,-0.024,4,3,1,"first_InvInef_bottom8"
